"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2014",1.607,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2015",1.669,
"NOR","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"POL","EDUPUBEXP","TRY","PC_GDP","A","2014",1.045,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2015",1.086,
"POL","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2014",0.77,
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2015",0.749,
"PRT","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2014",0.811,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2015",1.24,
"SVK","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2014",0.853,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2015",0.85,
"ESP","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2014",1.442,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2015",1.372,
"SWE","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2014",1.283,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2015",1.276,
"CHE","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2014",0.472,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2015",0.467,
"GBR","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"USA","EDUPUBEXP","TRY","PC_GDP","A","2014",0.92,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2015",0.907,
"USA","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2014",0.824,
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2015",0.959,
"BRA","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.871,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2015",0.723,
"CHL","EDUPUBEXP","TRY","PC_GDP","A","2016",0.812,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2014",1.372,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2015",1.259,
"EST","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"IND","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"IND","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"IND","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2015",0.514,
"IDN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2014",0.801,
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2015",0.858,
"ISR","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2014",0.81,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2015",0.734,
"RUS","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2014",0.912,
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2015",0.863,
"SVN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ZAF","EDUPUBEXP","TRY","PC_GDP","A","2014",0.588,
"ZAF","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"ZAF","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.212,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.182,
"AUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.981,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.978,
"AUT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.164,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.13,
"BEL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.119,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.169,
"CAN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.409,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.424,
"CZE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.674,
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"DNK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.915,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.97,
"FIN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.436,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.398,
"FRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.668,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.608,
"DEU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.691,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.674,
"HUN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.462,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.376,
"ISL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.509,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.511,
"IRL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.751,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.78,
"ITA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.546,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.479,
"JPN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.482,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.469,
"KOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.878,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.794,
"LUX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.19,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.204,
"MEX","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.188,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.176,
"NLD","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.763,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.784,
"NZL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.499,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.612,
"NOR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.039,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.929,
"POL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.59,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.392,
"PRT","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.476,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.554,
"SVK","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.639,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.656,
"ESP","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.68,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.646,
"SWE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.353,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.232,
"CHE","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.082,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.783,
"GBR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.205,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.207,
"USA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.022,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.061,
"BRA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.451,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.63,
"CHL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",3.026,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.656,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.749,
"EST","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"IND","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.492,
"IDN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.857,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.033,
"ISR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"RUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",1.945,
"RUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",1.843,
"RUS","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"SVN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.155,
"SVN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.955,
"SVN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ZAF","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.861,
"ZAF","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"ZAF","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"GRC","EDUPUBEXP","TRY","PC_GDP","A","2014",0.644,
"GRC","EDUPUBEXP","TRY","PC_GDP","A","2015",0.725,
"GRC","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"GRC","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.67,
"GRC","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.66,
"GRC","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"LUX","EDUPUBEXP","TRY","PC_GDP","A","2014",0.468,
"LUX","EDUPUBEXP","TRY","PC_GDP","A","2015",0.487,
"LUX","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"TUR","EDUPUBEXP","TRY","PC_GDP","A","2014",1.316,
"TUR","EDUPUBEXP","TRY","PC_GDP","A","2015",1.236,
"TUR","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"TUR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.557,
"TUR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.533,
"TUR","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"ARG","EDUPUBEXP","TRY","PC_GDP","A","2014",1.076,
"ARG","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"ARG","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"ARG","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.833,
"ARG","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"ARG","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CHN","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"CHN","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"CHN","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"CHN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"CHN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"CHN","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"COL","EDUPUBEXP","TRY","PC_GDP","A","2014",0.814,
"COL","EDUPUBEXP","TRY","PC_GDP","A","2015",0.791,
"COL","EDUPUBEXP","TRY","PC_GDP","A","2016",0.798,
"COL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.117,
"COL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.145,
"COL","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",3.069,
"LVA","EDUPUBEXP","TRY","PC_GDP","A","2014",1.031,
"LVA","EDUPUBEXP","TRY","PC_GDP","A","2015",1.094,
"LVA","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"LVA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",3.223,
"LVA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",3.254,
"LVA","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"SAU","EDUPUBEXP","TRY","PC_GDP","A","2014",,"M"
"SAU","EDUPUBEXP","TRY","PC_GDP","A","2015",,"M"
"SAU","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"SAU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",,"M"
"SAU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",,"M"
"SAU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
"CRI","EDUPUBEXP","TRY","PC_GDP","A","2014",1.489,
"CRI","EDUPUBEXP","TRY","PC_GDP","A","2015",1.576,
"CRI","EDUPUBEXP","TRY","PC_GDP","A","2016",1.634,
"CRI","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",4.792,
"CRI","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",4.995,
"CRI","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",4.7,
"LTU","EDUPUBEXP","TRY","PC_GDP","A","2014",1.234,
"LTU","EDUPUBEXP","TRY","PC_GDP","A","2015",1.078,
"LTU","EDUPUBEXP","TRY","PC_GDP","A","2016",,"M"
"LTU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2014",2.475,
"LTU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2015",2.315,
"LTU","EDUPUBEXP","PRY_NTRY","PC_GDP","A","2016",,"M"
